DATE,T10Y2Y
1976-04-01,0.8013636363636363
1976-07-01,1.0996875
1976-10-01,1.467377049180328
1977-01-01,1.3322222222222222
1977-04-01,1.2482539682539682
1977-07-01,0.8147619047619047
1977-10-01,0.4548333333333333
1978-01-01,0.4663934426229508
1978-04-01,0.32126984126984126
1978-07-01,0.016666666666666666
1978-10-01,-0.5083606557377048
1979-01-01,-0.6879032258064516
1979-04-01,-0.4762903225806452
1979-07-01,-0.43682539682539684
1979-10-01,-1.1185245901639345
1980-01-01,-1.2779032258064518
1980-04-01,0.250952380952381
1980-07-01,0.58546875
1980-10-01,-0.7972131147540984
1981-01-01,-0.6159016393442623
1981-04-01,-0.9492063492063492
1981-07-01,-1.183125
1981-10-01,0.1714754098360656
1982-01-01,-0.23442622950819672
1982-04-01,-0.21714285714285714
1982-07-01,0.48265625
1982-10-01,0.7873770491803279
1983-01-01,1.0152380952380953
1983-04-01,0.793968253968254
1983-07-01,0.7784375
1983-10-01,0.9956666666666667
1984-01-01,1.0298387096774193
1984-04-01,0.8473015873015873
1984-07-01,0.3603174603174603
1984-10-01,0.9219672131147542
1985-01-01,1.3114999999999999
1985-04-01,1.4219047619047618
1985-07-01,1.4395238095238094
1985-10-01,1.2316129032258065
1986-01-01,0.7893333333333333
1986-04-01,0.62015625
1986-07-01,0.85578125
1986-10-01,0.988225806451613
1987-01-01,0.8442622950819673
1987-04-01,0.8926984126984128
1987-07-01,1.0296875
1987-10-01,1.1390322580645162
1988-01-01,1.0593548387096776
1988-04-01,1.0355555555555556
1988-07-01,0.6384375
1988-10-01,0.24786885245901638
1989-01-01,-0.2067213114754098
1989-04-01,-0.18515625
1989-07-01,0.02158730158730159
1989-10-01,0.055322580645161296
1990-01-01,0.05903225806451613
1990-04-01,0.10301587301587302
1990-07-01,0.6025396825396826
1990-10-01,0.8001612903225807
1991-01-01,0.9871666666666666
1991-04-01,1.23140625
1991-07-01,1.42890625
1991-10-01,1.8412903225806452
1992-01-01,2.0130645161290324
1992-04-01,2.172857142857143
1992-07-01,2.46796875
1992-10-01,2.295645161290323
1993-01-01,2.1250819672131147
1993-04-01,1.9923809523809524
1993-07-01,1.64140625
1993-10-01,1.530967741935484
1994-01-01,1.5306451612903227
1994-04-01,1.262741935483871
1994-07-01,1.0948437500000001
1994-10-01,0.6745901639344262
1995-01-01,0.35677419354838713
1995-04-01,0.46841269841269845
1995-07-01,0.46761904761904766
1995-10-01,0.3954838709677419
1996-01-01,0.6403225806451613
1996-04-01,0.60328125
1996-07-01,0.6
1996-10-01,0.550483870967742
1997-01-01,0.5223333333333333
1997-04-01,0.42375
1997-07-01,0.3384375
1997-10-01,0.1717741935483871
1998-01-01,0.14131147540983607
1998-04-01,0.03492063492063492
1998-07-01,0.07125000000000001
1998-10-01,0.2856451612903226
1999-01-01,0.13918032786885245
1999-04-01,0.25703125
1999-07-01,0.250625
1999-10-01,0.19661290322580643
2000-01-01,-0.05793650793650793
2000-04-01,-0.3877777777777778
2000-07-01,-0.3271428571428571
2000-10-01,-0.14838709677419357
2001-01-01,0.46403225806451615
2001-04-01,1.0844444444444443
2001-07-01,1.3195081967213114
2001-10-01,1.895
2002-01-01,1.8786666666666667
2002-04-01,1.8721875
2002-07-01,2.03359375
2002-10-01,2.1151612903225807
2003-01-01,2.270983606557377
2003-04-01,2.199047619047619
2003-07-01,2.549375
2003-10-01,2.4288709677419353
2004-01-01,2.323387096774194
2004-04-01,2.14241935483871
2004-07-01,1.74484375
2004-10-01,1.3533870967741934
2005-01-01,0.848688524590164
2005-04-01,0.51265625
2005-07-01,0.2571875
2005-10-01,0.12360655737704918
2006-01-01,-0.027580645161290322
2006-04-01,0.07476190476190477
2006-07-01,-0.035555555555555556
2006-10-01,-0.10693548387096774
2007-01-01,-0.0814516129032258
2007-04-01,0.04234375
2007-07-01,0.3476190476190476
2007-10-01,0.7769354838709678
2008-01-01,1.6359016393442625
2008-04-01,1.46515625
2008-07-01,1.5021875
2008-10-01,2.0191935483870966
2009-01-01,1.8319672131147542
2009-04-01,2.303174603174603
2009-07-01,2.4878125
2009-10-01,2.586129032258065
2010-01-01,2.8001639344262297
2010-04-01,2.6193750000000002
2010-07-01,2.24578125
2010-10-01,2.391290322580645
2011-01-01,2.763709677419355
2011-04-01,2.63984126984127
2011-07-01,2.135
2011-10-01,1.7831147540983605
2012-01-01,1.750483870967742
2012-04-01,1.53625
2012-07-01,1.3834920634920633
2012-10-01,1.4395081967213115
2013-01-01,1.6881666666666666
2013-04-01,1.71609375
2013-07-01,2.340625
2013-10-01,2.416935483870968
2014-01-01,2.3906557377049182
2014-04-01,2.2014285714285715
2014-07-01,1.9845312499999999
2014-10-01,1.7393548387096776
2015-01-01,1.3642622950819672
2015-04-01,1.55171875
2015-07-01,1.530625
2015-10-01,1.352258064516129
2016-01-01,1.078032786885246
2016-04-01,0.97890625
2016-07-01,0.83625
2016-10-01,1.1291803278688524
2017-01-01,1.202258064516129
2017-04-01,0.9633333333333334
2017-07-01,0.8787301587301587
2017-10-01,0.6770967741935483
2018-01-01,0.5980327868852459
2018-04-01,0.44359375
2018-07-01,0.25793650793650796
2018-10-01,0.23836065573770493
2019-01-01,0.1678688524590164
2019-04-01,0.21095238095238095
2019-07-01,0.11203125
2019-10-01,0.20080645161290323
2020-01-01,0.2835483870967742
2020-04-01,0.493968253968254
2020-07-01,0.5096875
2020-10-01,0.7148387096774194
2021-01-01,1.2037704918032788
2021-04-01,1.4165625
2021-07-01,1.0990625
2021-10-01,1.0016129032258065
2022-01-01,0.48661290322580647
2022-04-01,0.2120967741935484
2022-07-01,-0.28109375
2022-10-01,-0.5606557377049181
2023-01-01,-0.6964516129032258
2023-04-01,-0.6685714285714285
2023-07-01,-0.766984126984127
2023-10-01,-0.36080645161290326
2024-01-01,-0.3259016393442623
2024-04-01,-0.3774603174603175
2024-07-01,-0.0859375
2024-10-01,0.09727272727272727
